slug,buildID,jobID,prevBuildID,prevJobID,SHA,prevSHA
eclipse-vertx/vert.x,474329079,474329083,474139628,474139636,010a7a68ecfa,1d9739902b62
eclipse-vertx/vert.x,474325143,474325144,468931658,468931662,7f98513bbc06,0cf14154b32f
eclipse-vertx/vert.x,474325143,474325145,468931658,468931662,7f98513bbc06,0cf14154b32f
eclipse-vertx/vert.x,474325143,474325146,468931658,468931662,7f98513bbc06,0cf14154b32f
eclipse-vertx/vert.x,474325143,474325147,468931658,468931662,7f98513bbc06,0cf14154b32f
eclipse-vertx/vert.x,473375984,473375985,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,473375984,473375986,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,473375984,473375987,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,473375984,473375988,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,472403720,472403721,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,472403720,472403722,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,472403720,472403723,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,472403720,472403724,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,471394621,471394622,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,471394621,471394623,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,471394621,471394624,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,471394621,471394625,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,469627597,469627598,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,469627597,469627599,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,469627597,469627600,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,469627597,469627601,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,467624707,467624710,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,467624707,467624712,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,467624707,467624713,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,467624707,467624714,467110988,467110994,1d9739902b62,779a363bdff0
eclipse-vertx/vert.x,466562120,466562121,463846115,463846119,b7cd575c70ed,8154b5c5c773
eclipse-vertx/vert.x,466562120,466562122,463846115,463846119,b7cd575c70ed,8154b5c5c773
eclipse-vertx/vert.x,466562120,466562123,463846115,463846119,b7cd575c70ed,8154b5c5c773
eclipse-vertx/vert.x,466562120,466562124,463846115,463846119,b7cd575c70ed,8154b5c5c773
eclipse-vertx/vert.x,464222395,464222396,463956614,463956618,4bbced9e8ac1,cfe8966d704d
eclipse-vertx/vert.x,464222395,464222397,463956614,463956618,4bbced9e8ac1,cfe8966d704d
eclipse-vertx/vert.x,464222395,464222398,463956614,463956618,4bbced9e8ac1,cfe8966d704d
eclipse-vertx/vert.x,464222395,464222399,463956614,463956618,4bbced9e8ac1,cfe8966d704d
eclipse-vertx/vert.x,463396593,463396595,463361709,463361717,dd39b0f76088,c9654176e7fc
eclipse-vertx/vert.x,463396593,463396596,463361709,463361717,dd39b0f76088,c9654176e7fc
eclipse-vertx/vert.x,463396593,463396598,463361709,463361717,dd39b0f76088,c9654176e7fc
eclipse-vertx/vert.x,463396593,463396600,463361709,463361717,dd39b0f76088,c9654176e7fc
eclipse-vertx/vert.x,460889678,460889679,460374444,460374450,cdc8172f4f2b,b9a934ee2e19
eclipse-vertx/vert.x,460889678,460889680,460374444,460374450,cdc8172f4f2b,b9a934ee2e19
eclipse-vertx/vert.x,460889678,460889681,460374444,460374450,cdc8172f4f2b,b9a934ee2e19
eclipse-vertx/vert.x,460889678,460889682,460374444,460374450,cdc8172f4f2b,b9a934ee2e19
eclipse-vertx/vert.x,460763290,460763291,460374444,460374450,cdc8172f4f2b,b9a934ee2e19
eclipse-vertx/vert.x,460763290,460763292,460374444,460374450,cdc8172f4f2b,b9a934ee2e19
eclipse-vertx/vert.x,460763290,460763293,460374444,460374450,cdc8172f4f2b,b9a934ee2e19
eclipse-vertx/vert.x,460763290,460763294,460374444,460374450,cdc8172f4f2b,b9a934ee2e19
eclipse-vertx/vert.x,460107715,460107717,459902708,459902712,b9a934ee2e19,07af8030dc19
eclipse-vertx/vert.x,460107715,460107718,459902708,459902712,b9a934ee2e19,07af8030dc19
eclipse-vertx/vert.x,460107715,460107719,459902708,459902712,b9a934ee2e19,07af8030dc19
eclipse-vertx/vert.x,460107715,460107721,459902708,459902712,b9a934ee2e19,07af8030dc19
eclipse-vertx/vert.x,457361792,457361793,457074529,457074536,4ab19ce106dd,25565f6a69af
eclipse-vertx/vert.x,457361792,457361794,457074529,457074536,4ab19ce106dd,25565f6a69af
eclipse-vertx/vert.x,457361792,457361795,457074529,457074536,4ab19ce106dd,25565f6a69af
eclipse-vertx/vert.x,457361792,457361796,457074529,457074536,4ab19ce106dd,25565f6a69af
eclipse-vertx/vert.x,453951407,453951408,453626487,453626491,2eadfa43303f,3c04a302d1e3
eclipse-vertx/vert.x,453951407,453951410,453626487,453626491,2eadfa43303f,3c04a302d1e3
